From	Entry	Gene_Ontology	Gene_Ontology_IDs
A0A6P8HKL0_ACTTE	A0A6P8HKL0	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A913X421_EXADI	A0A913X421	N/A	N/A
A7SGR7_NEMVE	A7SGR7	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A6P8H219_ACTTE	A0A6P8H219	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A6P8ITV8_ACTTE	A0A6P8ITV8	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A6P8H1R2_ACTTE	A0A6P8H1R2	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A913XIQ5_EXADI	A0A913XIQ5	N/A	N/A
A0A913Y3D2_EXADI	A0A913Y3D2	N/A	N/A
A0A913XGL7_EXADI	A0A913XGL7	N/A	N/A
A0A3M6UNF1_POCDA	A0A3M6UNF1	hydrolase activity [GO:0016787]; zinc ion binding [GO:0008270]	GO:0008270; GO:0016787
A0A6P8I873_ACTTE	A0A6P8I873	N/A	N/A
A0A6P8HWB9_ACTTE	A0A6P8HWB9	N/A	N/A
A0A6P8HP90_ACTTE	A0A6P8HP90	N/A	N/A
A0A6P8HKN2_ACTTE	A0A6P8HKN2	N/A	N/A
A0A6P8HWA9_ACTTE	A0A6P8HWA9	N/A	N/A
A0A6P8HMC5_ACTTE	A0A6P8HMC5	N/A	N/A
A0A6P8HSE0_ACTTE	A0A6P8HSE0	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020
A0A6P8HVD6_ACTTE	A0A6P8HVD6	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020
A0A6P8IDH4_ACTTE	A0A6P8IDH4	membrane [GO:0016020]; scavenger receptor activity [GO:0005044]	GO:0005044; GO:0016020
A0A6P8I334_ACTTE	A0A6P8I334	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085
A0A913WTP4_EXADI	A0A913WTP4	N/A	N/A
A0A913WTP7_EXADI	A0A913WTP7	N/A	N/A
A7SAS5_NEMVE	A7SAS5	membrane [GO:0016020]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; transmembrane transporter activity [GO:0022857]; aspartate transmembrane transport [GO:0015810]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]	GO:0005313; GO:0015183; GO:0015810; GO:0015813; GO:0016020; GO:0022857; GO:0043490
A0A2B4SGV7_STYPI	A0A2B4SGV7	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085
A0A3M6TT59_POCDA	A0A3M6TT59	membrane [GO:0016020]	GO:0016020
A0A6P4YQN0_BRABE	A0A6P4YQN0	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085
A0A8K0EGG0_BRALA	A0A8K0EGG0	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085
C3Y2H7_BRAFL	C3Y2H7	membrane [GO:0016020]; L-aspartate transmembrane transporter activity [GO:0015183]; L-glutamate transmembrane transporter activity [GO:0005313]; transmembrane transporter activity [GO:0022857]; aspartate transmembrane transport [GO:0015810]; L-glutamate transmembrane transport [GO:0015813]; malate-aspartate shuttle [GO:0043490]	GO:0005313; GO:0015183; GO:0015810; GO:0015813; GO:0016020; GO:0022857; GO:0043490
A0A8B6XTF0_HYDVU	A0A8B6XTF0	membrane [GO:0016020]; transmembrane transport [GO:0055085]	GO:0016020; GO:0055085
A0A6P8J467_ACTTE	A0A6P8J467	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A913XHC2_EXADI	A0A913XHC2	N/A	N/A
A0A6P8JAR5_ACTTE	A0A6P8JAR5	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A6P8J574_ACTTE	A0A6P8J574	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A6P8J575_ACTTE	A0A6P8J575	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A6P8J543_ACTTE	A0A6P8J543	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A6P8J429_ACTTE	A0A6P8J429	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A913XM99_EXADI	A0A913XM99	N/A	N/A
A0A3M6TT46_POCDA	A0A3M6TT46	membrane [GO:0016020]; symporter activity [GO:0015293]	GO:0015293; GO:0016020
A0A6P8HB42_ACTTE	A0A6P8HB42	cellular anatomical entity [GO:0110165]	GO:0110165
A0A913X6T9_EXADI	A0A913X6T9	N/A	N/A
A7SDW1_NEMVE	A7SDW1	cellular anatomical entity [GO:0110165]	GO:0110165
A0A8T2JPA6_9PIPI	A0A8T2JPA6	cellular anatomical entity [GO:0110165]	GO:0110165
A0A8B6H3W3_MYTGA	A0A8B6H3W3	cellular anatomical entity [GO:0110165]	GO:0110165
A0A8S3QLT2_MYTED	A0A8S3QLT2	cellular anatomical entity [GO:0110165]	GO:0110165
A0A2G9S265_LITCT	A0A2G9S265	cellular anatomical entity [GO:0110165]	GO:0110165
A0A6J8AFD9_MYTCO	A0A6J8AFD9	membrane [GO:0016020]	GO:0016020
A0A8J1XU16_OWEFU	A0A8J1XU16	cellular anatomical entity [GO:0110165]	GO:0110165
A0A8B6H3W8_MYTGA	A0A8B6H3W8	cellular anatomical entity [GO:0110165]	GO:0110165
A0A6P8HC30_ACTTE	A0A6P8HC30	growth factor activity [GO:0008083]	GO:0008083
A0A6P8H8B8_ACTTE	A0A6P8H8B8	growth factor activity [GO:0008083]	GO:0008083
A7SFH7_NEMVE	A7SFH7	cytoplasm [GO:0005737]; extracellular space [GO:0005615]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]; animal organ morphogenesis [GO:0009887]; cell differentiation [GO:0030154]; fibroblast growth factor receptor signaling pathway [GO:0008543]; positive regulation of cell population proliferation [GO:0008284]; positive regulation of gene expression [GO:0010628]; positive regulation of protein phosphorylation [GO:0001934]; regulation of cell migration [GO:0030334]	GO:0001934; GO:0005104; GO:0005615; GO:0005737; GO:0008083; GO:0008284; GO:0008543; GO:0009887; GO:0010628; GO:0030154; GO:0030334
A0A3M6TET2_POCDA	A0A3M6TET2	growth factor activity [GO:0008083]	GO:0008083
A0A2B4SBK7_STYPI	A0A2B4SBK7	growth factor activity [GO:0008083]	GO:0008083
A0A6P8IKM1_ACTTE	A0A6P8IKM1	growth factor activity [GO:0008083]	GO:0008083
A0A6J0SZR2_9SAUR	A0A6J0SZR2	growth factor activity [GO:0008083]	GO:0008083
A0A6P8H9A6_ACTTE	A0A6P8H9A6	growth factor activity [GO:0008083]	GO:0008083
A0A8D2ISM0_VARKO	A0A8D2ISM0	growth factor activity [GO:0008083]	GO:0008083
A0A6P8HBM0_ACTTE	A0A6P8HBM0	N/A	N/A
A0A6P8HFS2_ACTTE	A0A6P8HFS2	N/A	N/A
A0A913XZJ6_EXADI	A0A913XZJ6	N/A	N/A
A0A6P8HMG0_ACTTE	A0A6P8HMG0	N/A	N/A
A0A913Y0Z5_EXADI	A0A913Y0Z5	N/A	N/A
A0A6P8HMF3_ACTTE	A0A6P8HMF3	N/A	N/A
A7SSA4_NEMVE	A7SSA4	N/A	N/A
A0A3M6THQ7_POCDA	A0A3M6THQ7	N/A	N/A
A0A3M6THL9_POCDA	A0A3M6THL9	N/A	N/A
A0A6P8IA94_ACTTE	A0A6P8IA94	membrane [GO:0016020]	GO:0016020
A0A913Y0X6_EXADI	A0A913Y0X6	N/A	N/A
A0A3M6UFG7_POCDA	A0A3M6UFG7	N/A	N/A
A0A2B4SNY3_STYPI	A0A2B4SNY3	N/A	N/A
A7RGM7_NEMVE	A7RGM7	endomembrane system [GO:0012505]; membrane [GO:0016020]	GO:0012505; GO:0016020
A0A8U0Q940_SALNM	A0A8U0Q940	membrane [GO:0016020]	GO:0016020
A0A2B4RCS9_STYPI	A0A2B4RCS9	N/A	N/A
A0A8C8GAF5_ONCTS	A0A8C8GAF5	membrane [GO:0016020]	GO:0016020
A0A8C6QVW1_NANGA	A0A8C6QVW1	membrane [GO:0016020]	GO:0016020
A0A1U7QCX1_MESAU	A0A1U7QCX1	endoplasmic reticulum [GO:0005783]; membrane [GO:0016020]; nuclear envelope [GO:0005635]; heme binding [GO:0020037]; heme transmembrane transporter activity [GO:0015232]; adipose tissue development [GO:0060612]	GO:0005635; GO:0005783; GO:0015232; GO:0016020; GO:0020037; GO:0060612
A0A6P8ITZ2_ACTTE	A0A6P8ITZ2	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
A0A913X7B2_EXADI	A0A913X7B2	N/A	N/A
A7S7D2_NEMVE	A7S7D2	mitochondrion [GO:0005739]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0005739; GO:0045329; GO:0046872; GO:0051213
A7S7D1_NEMVE	A7S7D1	mitochondrion [GO:0005739]; dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0005739; GO:0045329; GO:0046872; GO:0051213
A0A2B4S4G7_STYPI	A0A2B4S4G7	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
A0A3M6T578_POCDA	A0A3M6T578	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
A0A3M6V6L5_POCDA	A0A3M6V6L5	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
A0A2B4SMG8_STYPI	A0A2B4SMG8	dioxygenase activity [GO:0051213]; metal ion binding [GO:0046872]; carnitine biosynthetic process [GO:0045329]	GO:0045329; GO:0046872; GO:0051213
A0A6P8HMF2_ACTTE	A0A6P8HMF2	N/A	N/A
A0A6P8IGV4_ACTTE	A0A6P8IGV4	N/A	N/A
A0A6P8IH21_ACTTE	A0A6P8IH21	N/A	N/A
A0A6P8HWB3_ACTTE	A0A6P8HWB3	N/A	N/A
A0A6P8HKN5_ACTTE	A0A6P8HKN5	N/A	N/A
A0A6P8HKP0_ACTTE	A0A6P8HKP0	N/A	N/A
A0A6P8IFQ5_ACTTE	A0A6P8IFQ5	N/A	N/A
A0A913X136_EXADI	A0A913X136	N/A	N/A
A0A913XMG5_EXADI	A0A913XMG5	N/A	N/A
A0A913XSQ0_EXADI	A0A913XSQ0	N/A	N/A
A0A6P8HTM5_ACTTE	A0A6P8HTM5	catalytic activity [GO:0003824]; polyamine biosynthetic process [GO:0006596]	GO:0003824; GO:0006596
