"ID"	"FC"
"evm.utg1925.59"	-1.858727883
"evm.utg1140.9"	-1.286983051
"evm.utg3790.21"	-1.672602327
"evm.utg7149.21"	-3.434245767
"evm.utg1919.69"	1.04161924
"evm.utg888.2"	-1.078785301
"evm.utg5414.35"	4.121858893
"evm.utg5074.12"	-1.127669791
"evm.utg194.25"	1.204258143
"evm.utg47.12"	-2.133747364
"evm.utg788.53"	-1.121541534
"evm.utg5074.9"	1.03560393
"evm.utg55.33"	1.483259423
"evm.utg26219.16"	1.831725394
"evm.utg3470.19"	0.940983517
"evm.utg788.54"	-1.638960599
"evm.utg788.56"	-1.483624005
"evm.utg23901.3"	2.081675954
"evm.utg1049.13"	-1.112715212
"evm.utg418.5"	-0.795012994
"evm.utg3019.11"	-1.431357999
"evm.utg788.55"	-1.600862034
"evm.utg7066.24"	-1.496438275
"evm.utg567.16"	1.730231923
"evm.utg868.112"	-2.144056374
"evm.utg3470.16"	0.933319369
"evm.utg6078.62"	-0.851196702
"evm.utg203.119"	-1.326860608
"evm.utg7.74"	-4.387240132
"evm.utg77.92"	-0.953339613
"evm.utg1127.40"	-1.090564698
"evm.utg73.35"	-1.194251186
"evm.utg30988.13"	-1.476261279
"evm.utg27.73"	1.706211876
"evm.utg203.148"	1.544877836
"evm.utg479.104"	0.967163753
"evm.utg5074.17"	-3.101434983
"evm.utg3799.20"	-0.838448655
"evm.utg26697.9"	1.346870332
"utg4155.evm.utg4695.64.mrna2"	-1.88531977
"evm.utg1721.53"	-0.717473024
"evm.utg514.1"	1.024971691
"evm.utg750.15"	-1.466839706
"evm.utg3019.49"	-0.91205231
"evm.utg3409.15"	-1.491910601
"evm.utg26517.1"	1.806749073
"utg7656.equina_smart_196234.mrna2"	-0.877589146
"utg1002.equina_smart_263049.mrna1"	-0.990799481
"evm.utg379.32"	-0.627829471
"evm.utg4155.2"	-1.74941906
"evm.utg435.70"	-0.64397448
"evm.utg27.125"	1.393433879
"evm.utg3790.36"	-1.524727938
"evm.utg5815.2"	-0.8646905
"evm.utg1052.33"	1.771808871
"evm.utg890.35"	-0.63571018
"evm.utg379.22"	1.041653968
"evm.utg2487.55"	2.092103967
"evm.utg9668.33"	-0.968647013
"evm.utg5996.10"	1.750667447
"evm.utg112.49"	1.036291253
"evm.utg5074.11"	-1.009739222
"evm.utg736.13"	-2.13833757
"evm.utg1663.34"	-0.515680227
"evm.utg6459.35"	1.580021417
"evm.utg1420.4"	1.693447938
"evm.utg382.12"	-0.891149212
"evm.utg2353.29"	1.047071976
"evm.utg4157.34"	1.262444277
"evm.utg62.72"	-0.702980152
"utg77.equina_smart_1078796.mrna1"	1.215999221
"evm.utg172.72"	-0.623252541
"evm.utg163.76"	-0.881159842
"utg101.equina_smart_282026.mrna1"	-0.939554032
"evm.utg16690.14"	2.018992076
"evm.utg1162.1"	-1.622475636
"evm.utg13.51"	-3.743715849
"evm.utg217.39"	-0.923254645
"evm.utg146.22"	-0.69924195
"utg418.evm.utg6875.9.mrna3"	1.718455905
"evm.utg1694.11.12.13"	-1.058892864
"evm.utg5367.2"	-0.896165615
"evm.utg56.43"	1.191544294
"evm.utg162.13"	-1.910810889
"utg9776.equina_smart_1467066.mrna1"	-0.842165386
"evm.utg172.82"	-0.941193165
"evm.utg7.18"	0.879443218
"evm.utg1897.43"	0.604645677
"tRNAscan-SE.tRNA.utg1005.Pseudo(TGA).1"	0.922074684
"evm.utg6272.10"	-1.197875248
"evm.utg9229.2"	-2.235973997
"evm.utg181.10"	1.293625946
"evm.utg1931.94"	-0.56888824
"evm.utg379.21"	1.024282067
"evm.utg1925.10"	-1.272069684
"evm.utg3470.20"	0.98403719
"evm.utg324.183"	1.096821858
"evm.utg2801.36"	-1.790678763
"evm.utg7931.9"	-2.147501794
"evm.utg44408.3"	1.329779707
"evm.utg6432.13.14"	1.058316137
"evm.utg2247.9"	0.702497164
"evm.utg577.47"	-1.48638191
"evm.utg1395.8"	-2.860959519
"utg10114.evm.utg6875.9.mrna2"	1.511646717
"evm.utg734.13"	-0.572029423
"evm.utg420.20"	1.021609881
"evm.utg78.54"	1.071464979
"evm.utg700.3"	-1.001250594
"evm.utg597.48"	-0.650439585
"evm.utg1056.28"	-0.611322932
"evm.utg376.58"	1.172899759
"evm.utg5059.41"	1.369457308
"evm.utg2247.4"	-3.530321805
"evm.utg130819.1"	0.900880476
"evm.utg56.2"	1.35878741
"evm.utg370.58"	-3.285345085
"evm.utg14772.7"	1.645964332
"utg13368.evm.utg6875.9.mrna5"	1.489025147
"evm.utg150.65"	2.18354932
"evm.utg109.56"	-1.842838836
"evm.utg2108.27"	1.198755781
"evm.utg4610.15"	0.440261936
"evm.utg6117.8"	-2.347559493
"evm.utg6875.9"	1.639524099
"evm.utg1345.2"	1.36325209
"evm.utg2661.5"	-1.096787811
"evm.utg4856.11"	-0.467091214
"evm.utg3878.26"	-0.699887479
"evm.utg3409.14"	-1.125684132
"evm.utg1925.58"	-1.236268333
